@relation 'chwilowki-weka.filters.unsupervised.attribute.MergeTwoValues-C1-F1-S2-weka.filters.unsupervised.attribute.MergeTwoValues-C1-F2-S3-weka.filters.unsupervised.attribute.MergeTwoValues-C1-F2-S3-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Reorder-R2-9,first-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R5'

@attribute rodzaj_zr_dochodu {13,12,11,17,98,99,16,15}
@attribute miesieczny_dochod_netto numeric
@attribute ktore_rolowanie {1,0,2,3,4,5,6}
@attribute kwota_kredytu numeric
@attribute wiek {'\'(-inf-30.4]\'','\'(30.4-42.8]\'','\'(42.8-55.2]\'','\'(55.2-67.6]\'','\'(67.6-inf)\''}
@attribute plec {k,m}
@attribute okres_pobieral_dochod numeric
@attribute okres_bedzie_pobieral_dochod numeric
@attribute status_pozyczki {dobra,zla}

@data
13,1362,2,500,'\'(55.2-67.6]\'',k,53,48,dobra
11,3250,1,500,'\'(42.8-55.2]\'',m,2,48,zla
16,1600,0,500,'\'(55.2-67.6]\'',m,9,48,dobra
16,730,0,300,'\'(42.8-55.2]\'',m,113,48,zla
11,2470,2,426.61,'\'(42.8-55.2]\'',k,351,48,dobra
12,1040,2,400,'\'(42.8-55.2]\'',k,15,19,zla
13,1015,2,400,'\'(55.2-67.6]\'',k,106,48,dobra
11,1557.5,0,700,'\'(30.4-42.8]\'',k,182,48,zla
13,1017,2,200,'\'(67.6-inf)\'',k,158,48,dobra
17,547.89,1,350,'\'(55.2-67.6]\'',k,53,48,dobra
11,1800,1,600,'\'(30.4-42.8]\'',k,49,48,dobra
11,2050,0,800,'\'(30.4-42.8]\'',k,26,48,dobra
13,910,2,200,'\'(55.2-67.6]\'',k,67,48,dobra
11,2284.23,0,200,'\'(42.8-55.2]\'',m,297,48,dobra
11,1577.42,2,400,'\'(42.8-55.2]\'',k,202,48,dobra
12,855,2,600,'\'(30.4-42.8]\'',k,41,48,zla
12,1540,1,600,'\'(30.4-42.8]\'',k,36,39,dobra
11,2050,2,575.74,'\'(30.4-42.8]\'',m,115,48,dobra
11,2368.57,0,400,'\'(42.8-55.2]\'',k,407,48,dobra
17,540.62,0,300,'\'(-inf-30.4]\'',k,28,48,zla
13,1875.17,0,1000,'\'(55.2-67.6]\'',k,96,48,zla
11,4900,0,500,'\'(42.8-55.2]\'',k,8,48,dobra
13,1457,1,300,'\'(67.6-inf)\'',m,76,48,dobra
13,1216,2,200,'\'(55.2-67.6]\'',k,138,48,dobra
13,1280,2,400,'\'(55.2-67.6]\'',k,14,48,dobra
99,490.99,0,400,'\'(30.4-42.8]\'',k,3,8,zla
11,1800,2,500,'\'(42.8-55.2]\'',k,50,48,dobra
